province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key,province_state_1,country_region_1,latitude_1,longitude_1,location_geom_1,_1_22_20,_1_23_20,_1_24_20,_1_25_20,_1_26_20,_1_27_20,_1_28_20,_1_29_20,_1_30_20,_1_31_20,_2_1_20,_2_2_20,_2_3_20,_2_4_20,_2_5_20,_2_6_20,_2_7_20,_2_8_20,_2_9_20,_2_10_20,_2_11_20,_2_12_20,_2_13_20,_2_14_20,_2_15_20,_2_16_20,_2_17_20,_2_18_20,_2_19_20,_2_20_20,_2_21_20,_2_22_20,_2_23_20,_2_24_20,_2_25_20,_2_26_20,_2_27_20,_2_28_20,_2_29_20,_3_1_20,_3_2_20,_3_3_20,_3_4_20,_3_5_20,_3_6_20,_3_7_20,_3_8_20,_3_9_20,_3_10_20,_3_11_20,_3_12_20,_3_13_20,_3_14_20,_3_15_20,_3_16_20,_3_17_20,_3_18_20,_3_19_20,_3_20_20,_3_21_20,_3_22_20,_3_23_20,_3_24_20,_3_25_20,_3_26_20,_3_27_20,_3_28_20,_3_29_20,_3_30_20,_3_31_20,_4_1_20,_4_2_20,_4_3_20,_4_4_20,_4_5_20,_4_6_20,_4_7_20,_4_8_20,_4_9_20,_4_10_20,_4_11_20,_4_12_20,_4_13_20,_4_14_20,_4_15_20,_4_16_20,_4_17_20,_4_18_20,_4_19_20,_4_20_20,_4_21_20,_4_22_20,_4_23_20,_4_24_20,_4_25_20,_4_26_20,_4_27_20,_4_28_20,_4_29_20,_4_30_20,_5_1_20,_5_2_20,_5_3_20,_5_4_20,_5_5_20,_5_6_20,_5_7_20,_5_8_20,_5_9_20,_5_10_20,_5_11_20,_5_12_20,_5_13_20,_5_14_20,_5_15_20,_5_16_20,_5_17_20,_5_18_20,_5_19_20,_5_20_20,_5_21_20,_5_22_20,_5_23_20,_5_24_20,_5_25_20,_5_26_20,_5_27_20,_5_28_20,_5_29_20,_5_30_20,_5_31_20,_6_1_20,_6_2_20,_6_3_20,_6_4_20,_6_5_20,_6_6_20,_6_7_20,_6_8_20,_6_9_20,_6_10_20,_6_11_20,_6_12_20,_6_13_20,_6_14_20,_6_15_20,_6_16_20,_6_17_20,_6_18_20,_6_19_20,_6_20_20,_6_21_20,_6_22_20,_6_23_20,_6_24_20,_6_25_20,_6_26_20,_6_27_20,_6_28_20,_6_29_20,_6_30_20,_7_1_20,_7_2_20,_7_3_20,_7_4_20,_7_5_20,_7_6_20,_7_7_20,_7_8_20,_7_9_20,_7_10_20,_7_11_20,_7_12_20,_7_13_20,_7_14_20,_7_15_20,_7_16_20,_7_17_20,_7_18_20,_7_19_20,_7_20_20,_7_21_20,_7_22_20,_7_23_20,_7_24_20,_7_25_20,_7_26_20,_7_27_20,_7_28_20,_7_29_20,_7_30_20,_7_31_20,_8_1_20,_8_2_20,_8_3_20,_8_4_20,_8_5_20,_8_6_20,_8_7_20,_8_8_20,_8_9_20,_8_10_20,_8_11_20,_8_12_20,_8_13_20,_8_14_20,_8_15_20,_8_16_20,_8_17_20,_8_18_20,_8_19_20,_8_20_20,_8_21_20,_8_22_20,_8_23_20,_8_24_20,_8_25_20,_8_26_20,_8_27_20,_8_28_20,_8_29_20,_8_30_20,_8_31_20,_9_1_20,_9_2_20,_9_3_20,_9_4_20,_9_5_20,_9_6_20,_9_7_20,_9_8_20,_9_9_20,_9_10_20,_9_11_20,_9_12_20,_9_13_20,_9_14_20,_9_15_20,_9_16_20,_9_17_20,_9_18_20,_9_19_20,_9_20_20,_9_21_20,_9_22_20,_9_23_20,_9_24_20,_9_25_20,_9_26_20,_9_27_20,_9_28_20,_9_29_20,_9_30_20,_10_1_20,_10_2_20,_10_3_20,_10_4_20,_10_5_20,_10_6_20,_10_7_20,_10_8_20,_10_9_20,_10_10_20,_10_11_20,_10_12_20,_10_13_20,_10_14_20,_10_15_20,_10_16_20,_10_17_20,_10_18_20,_10_19_20,_10_20_20,_10_21_20,_10_22_20,_10_23_20,_10_24_20,_10_25_20,_10_26_20,_10_27_20,_10_28_20,_10_29_20,_10_30_20,_10_31_20,_11_1_20,_11_2_20,_11_3_20,_11_4_20,_11_5_20,_11_6_20,_11_7_20,_11_8_20,_11_9_20,_11_10_20,_11_11_20,_11_12_20,_11_13_20,_11_14_20,_11_15_20,_11_16_20,_11_17_20,_11_18_20,_11_19_20,_11_20_20,_11_21_20,_11_22_20,_11_23_20,_11_24_20,_11_25_20,_11_26_20,_11_27_20,_11_28_20,_11_29_20,_11_30_20,_12_1_20,_12_2_20,_12_3_20,_12_4_20,_12_5_20,_12_6_20,_12_7_20,_12_8_20,_12_9_20,_12_10_20,_12_11_20,_12_12_20,_12_13_20,_12_14_20,_12_15_20,_12_16_20,_12_17_20,_12_18_20,_12_19_20,_12_20_20,_12_21_20,_12_22_20,_12_23_20,_12_24_20,_12_25_20,_12_26_20,_12_27_20,_12_28_20,_12_29_20,_12_30_20,_12_31_20,_1_1_21,_1_2_21,_1_3_21,_1_4_21,_1_5_21,_1_6_21,_1_7_21,_1_8_21,_1_9_21,_1_10_21,_1_11_21,_1_12_21,_1_13_21,_1_14_21,_1_15_21,_1_16_21,_1_17_21,_1_18_21,_1_19_21,_1_20_21,_1_21_21,_1_22_21,_1_23_21,_1_24_21,_1_25_21,_1_26_21,_1_27_21,_1_28_21,_1_29_21,_1_30_21,_1_31_21,_2_1_21,_2_2_21,_2_3_21,_2_4_21,_2_5_21,_2_6_21,_2_7_21,_2_8_21,_2_9_21,_2_10_21,_2_11_21,_2_12_21,_2_13_21,_2_14_21,_2_15_21,_2_16_21,_2_17_21,_2_18_21,_2_19_21,_2_20_21,_2_21_21,_2_22_21,_2_23_21,_2_24_21,_2_25_21,_2_26_21,_2_27_21,_2_28_21,_3_1_21,_3_2_21,_3_3_21,_3_4_21,_3_5_21,_3_6_21,_3_7_21,_3_8_21,_3_9_21,_3_10_21,_3_11_21,_3_12_21,_3_13_21,_3_14_21,_3_15_21,_3_16_21,_3_17_21,_3_18_21,_3_19_21,_3_20_21,_3_21_21,_3_22_21,_3_23_21,_3_24_21,_3_25_21,_3_26_21,_3_27_21,_3_28_21,_3_29_21,_3_30_21,_3_31_21,_4_1_21,_4_2_21,_4_3_21,_4_4_21,_4_5_21,_4_6_21,_4_7_21,_4_8_21,_4_9_21,_4_10_21,_4_11_21,_4_12_21,_4_13_21,_4_14_21,_4_15_21,_4_16_21,_4_17_21,_4_18_21,_4_19_21,_4_20_21,_4_21_21,_4_22_21,_4_23_21,_4_24_21,_4_25_21,_4_26_21,_4_27_21,_4_28_21,_4_29_21,_4_30_21,_5_1_21,_5_2_21,_5_3_21,_5_4_21,_5_5_21,_5_6_21,_5_7_21,_5_8_21,_5_9_21,_5_10_21,_5_11_21,_5_12_21,_5_13_21,_5_14_21,_5_15_21,_5_16_21,_5_17_21,_5_18_21,_5_19_21,_5_20_21,_5_21_21,_5_22_21,_5_23_21,_5_24_21,_5_25_21,_5_26_21,_5_27_21,_5_28_21,_5_29_21,_5_30_21,_5_31_21,_6_1_21,_6_2_21,_6_3_21,_6_4_21,_6_5_21,_6_6_21,_6_7_21,_6_8_21,_6_9_21,_6_10_21,_6_11_21,_6_12_21,_6_13_21,_6_14_21,_6_15_21,_6_16_21,_6_17_21,_6_18_21,_6_19_21,_6_20_21,_6_21_21,_6_22_21,_6_23_21,_6_24_21,_6_25_21,_6_26_21,_6_27_21,_6_28_21,_6_29_21,_6_30_21,_7_1_21,_7_2_21,_7_3_21,_7_4_21,_7_5_21,_7_6_21,_7_7_21,_7_8_21,_7_9_21,_7_10_21,_7_11_21,_7_12_21,_7_13_21,_7_14_21,_7_15_21,_7_16_21,_7_17_21,_7_18_21,_7_19_21,_7_20_21,_7_21_21,_7_22_21,_7_23_21,_7_24_21,_7_25_21,_7_26_21,_7_27_21,_7_28_21,_7_29_21,_7_30_21,_7_31_21,_8_1_21,_8_2_21,_8_3_21,_8_4_21,_8_5_21,_8_6_21,_8_7_21,_8_8_21,_8_9_21,_8_10_21,_8_11_21,_8_12_21,_8_13_21,_8_14_21,_8_15_21,_8_16_21,_8_17_21,_8_18_21,_8_19_21,_8_20_21,_8_21_21,_8_22_21,_8_23_21,_8_24_21,_8_25_21,_8_26_21,_8_27_21,_8_28_21,_8_29_21,_8_30_21,_8_31_21,_9_1_21,_9_2_21,_9_3_21,_9_4_21,_9_5_21,_9_6_21,_9_7_21,_9_8_21,_9_9_21,_9_10_21,_9_11_21,_9_12_21,_9_13_21,_9_14_21,_9_15_21,_9_16_21,_9_17_21,_9_18_21,_9_19_21,_9_20_21,_9_21_21,_9_22_21,_9_23_21,_9_24_21,_9_25_21,_9_26_21,_9_27_21,_9_28_21,_9_29_21,_9_30_21,_10_1_21,_10_2_21,_10_3_21,_10_4_21,_10_5_21,_10_6_21,_10_7_21,_10_8_21,_10_9_21,_10_10_21,_10_11_21,_10_12_21,_10_13_21,_10_14_21,_10_15_21,_10_16_21,_10_17_21,_10_18_21,_10_19_21,_10_20_21,_10_21_21,_10_22_21,_10_23_21,_10_24_21,_10_25_21,_10_26_21,_10_27_21,_10_28_21,_10_29_21,_10_30_21,_10_31_21,_11_1_21,_11_2_21,_11_3_21,_11_4_21,_11_5_21,_11_6_21,_11_7_21,_11_8_21,_11_9_21,_11_10_21,_11_11_21,_11_12_21,_11_13_21,_11_14_21,_11_15_21,_11_16_21,_11_17_21,_11_18_21,_11_19_21,_11_20_21,_11_21_21,_11_22_21,_11_23_21,_11_24_21,_11_25_21,_11_26_21,_11_27_21,_11_28_21,_11_29_21,_11_30_21,_12_1_21,_12_2_21,_12_3_21,_12_4_21,_12_5_21,_12_6_21,_12_7_21,_12_8_21,_12_9_21,_12_10_21,_12_11_21,_12_12_21,_12_13_21,_12_14_21,_12_15_21,_12_16_21,_12_17_21,_12_18_21,_12_19_21,_12_20_21,_12_21_21,_12_22_21,_12_23_21,_12_24_21,_12_25_21,_12_26_21,_12_27_21,_12_28_21,_12_29_21,_12_30_21,_12_31_21,_1_1_22,_1_2_22,_1_3_22,_1_4_22,_1_5_22,_1_6_22,_1_7_22,_1_8_22,_1_9_22,_1_10_22,_1_11_22,_1_12_22,_1_13_22,_1_14_22,_1_15_22,_1_16_22,_1_17_22,_1_18_22,_1_19_22,_1_20_22,_1_21_22,_1_22_22,_1_23_22,_1_24_22,_1_25_22,_1_26_22,_1_27_22,_1_28_22,_1_29_22,_1_30_22,_1_31_22,_2_1_22,_2_2_22,_2_3_22,_2_4_22,_2_5_22,_2_6_22,_2_7_22,_2_8_22,_2_9_22,_2_10_22,_2_11_22,_2_12_22,_2_13_22,_2_14_22,_2_15_22,_2_16_22,_2_17_22,_2_18_22,_2_19_22,_2_20_22,_2_21_22,_2_22_22,_2_23_22,_2_24_22,_2_25_22,_2_26_22,_2_27_22,_2_28_22,_3_1_22,_3_2_22,_3_3_22,_3_4_22,_3_5_22,_3_6_22,_3_7_22,_3_8_22,_3_9_22,_3_10_22,_3_11_22,_3_12_22,_3_13_22,_3_14_22,_3_15_22,_3_16_22,_3_17_22,_3_18_22,_3_19_22,_3_20_22,_3_21_22,_3_22_22,_3_23_22,_3_24_22,_3_25_22,_3_26_22,_3_27_22,_3_28_22,_3_29_22,_3_30_22,_3_31_22,_4_1_22,_4_2_22,_4_3_22,_4_4_22,_4_5_22,_4_6_22,_4_7_22,_4_8_22,_4_9_22,_4_10_22,_4_11_22,_4_12_22,_4_13_22,_4_14_22,_4_15_22,_4_16_22,_4_17_22,_4_18_22,_4_19_22,_4_20_22,_4_21_22,_4_22_22,_4_23_22,_4_24_22,_4_25_22,_4_26_22,_4_27_22,_4_28_22,_4_29_22,_4_30_22,_5_1_22,_5_2_22,_5_3_22,_5_4_22,_5_5_22,_5_6_22,_5_7_22,_5_8_22,_5_9_22,_5_10_22,_5_11_22,_5_12_22,_5_13_22,_5_14_22,_5_15_22,_5_16_22,_5_17_22,_5_18_22,_5_19_22,_5_20_22,_5_21_22,_5_22_22,_5_23_22,_5_24_22,_5_25_22,_5_26_22,_5_27_22,_5_28_22,_5_29_22,_5_30_22,_5_31_22,_6_1_22,_6_2_22,_6_3_22,_6_4_22,_6_5_22,_6_6_22,_6_7_22,_6_8_22,_6_9_22,_6_10_22,_6_11_22,_6_12_22,_6_13_22,_6_14_22,_6_15_22,_6_16_22,_6_17_22,_6_18_22,_6_19_22,_6_20_22,_6_21_22,_6_22_22,_6_23_22,_6_24_22,_6_25_22,_6_26_22,_6_27_22,_6_28_22,_6_29_22,_6_30_22,_7_1_22,_7_2_22,_7_3_22,_7_4_22,_7_5_22,_7_6_22,_7_7_22,_7_8_22,_7_9_22,_7_10_22,_7_11_22,_7_12_22,_7_13_22,_7_14_22,_7_15_22,_7_16_22,_7_17_22,_7_18_22,_7_19_22,_7_20_22,_7_21_22,_7_22_22,_7_23_22,_7_24_22,_7_25_22,_7_26_22,_7_27_22,_7_28_22,_7_29_22,_7_30_22,_7_31_22,_8_1_22,_8_2_22,_8_3_22,_8_4_22,_8_5_22,_8_6_22,_8_7_22,_8_8_22,_8_9_22,_8_10_22,_8_11_22,_8_12_22,_8_13_22,_8_14_22,_8_15_22,_8_16_22,_8_17_22,_8_18_22,_8_19_22,_8_20_22,_8_21_22,_8_22_22,_8_23_22,_8_24_22,_8_25_22,_8_26_22,_8_27_22,_8_28_22,_8_29_22,_8_30_22,_8_31_22,_9_1_22,_9_2_22,_9_3_22,_9_4_22,_9_5_22,_9_6_22,_9_7_22,_9_8_22,_9_9_22,_9_10_22,_9_11_22,_9_12_22,_9_13_22,_9_14_22,_9_15_22,_9_16_22,_9_17_22,_9_18_22,_9_19_22,_9_20_22,_9_21_22,_9_22_22,_9_23_22,_9_24_22,_9_25_22,_9_26_22,_9_27_22,_9_28_22,_9_29_22,_9_30_22,_10_1_22,_10_2_22,_10_3_22,_10_4_22,_10_5_22,_10_6_22,_10_7_22,_10_8_22
Luhansk Oblast,Ukraine,2021-01-25,48.574,39.3078,POINT(39.3078 48.574),13535,381,10779,2375,,,"Luhansk Oblast, Ukraine",,Ukraine,48.3794,31.1656,POINT(31.1656 48.3794),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,6,8,10,13,19,22,25,28,28,28,35,45,61,79,89,97,119,143,186,246,275,347,359,367,424,504,782,782,840,864,992,1103,1238,1413,1498,1548,1619,1875,2097,2396,2706,2909,3060,3288,3373,3716,4143,4473,4906,5116,5276,5632,5955,6227,6585,6929,7108,7234,7575,7995,8439,8934,9311,9538,10053,10461,10838,11468,11815,12265,12513,12657,12892,13257,13642,14075,14489,14596,14771,15054,15485,16001,16588,16974,17078,17211,17538,18009,18365,18927,19350,19585,19679,19792,20244,20755,21296,21907,22131,22462,22970,23912,24606,25634,26513,26971,27356,28021,29005,29822,30675,31479,31836,32397,33186,34176,35035,35932,36573,36885,37202,37852,38523,39327,39945,40516,40755,41097,41849,42784,43812,44369,45006,45335,45723,46313,47084,47678,48288,48946,49346,49692,50508,51358,52086,52769,53458,53968,54262,54657,55327,56149,57051,58156,58775,59162,59904,60943,61828,62828,63891,64496,64886,65849,67092,68289,69466,70881,71434,72091,73422,74981,76636,78273,79671,80438,81131,82927,84767,86624,88324,90142,91179,91754,93664,95829,97956,100163,102347,103762,104966,107210,109968,112365,114872,116861,117829,118740,120999,123263,124316,126721,129033,130338,131473,134680,137515,140322,143093,145418,147240,148300,151428,155028,158208,161719,165902,168495,170880,176220,184141,192602,203572,212549,215357,217716,223530,230767,237399,243901,249127,251864,254653,261836,270269,278190,286386,294851,299592,303782,312564,321460,331538,340794,350189,354556,360360,370677,384961,400751,414347,429455,435575,440899,454226,469200,483553,499182,513249,520912,526101,542672,555675,569200,582457,596218,602993,608120,622519,638265,654592,670437,676234,683273,690626,707235,724143,736611,746680,749371,755810,760660,774834,789627,801293,806525,814779,820385,825299,841666,856719,867370,877989,888202,897136,902481,917824,932809,947087,961668,975186,980769,986655,999466,1014198,1026464,1038152,1049766,1054177,1059457,1071606,1082144,1092599,1101087,1108530,1110927,1113671,1122912,1131077,1138136,1145608,1151965,1154076,1156626,1163154,1169314,1174881,1180915,1185635,1187434,1188859,1193334,1197046,1201371,1205883,1210919,1212795,1214603,1220028,1225443,1230547,1234839,1238321,1240543,1242311,1243335,1249309,1254913,1259791,1264926,1267754,1271283,1277603,1283215,1289841,1294473,1299854,1303784,1306822,1315215,1322969,1329855,1337080,1344342,1347738,1350645,1354346,1360944,1370733,1381163,1390431,1395133,1400102,1410466,1422086,1432220,1443522,1454351,1459409,1464790,1478945,1491430,1502688,1514849,1524711,1531262,1536877,1549115,1563969,1582924,1602004,1615812,1622422,1629342,1646858,1667089,1685659,1705967,1721091,1726927,1732495,1740385,1748230,1762718,1782321,1801896,1811171,1820216,1828877,1848883,1868522,1884643,1901897,1909852,1916751,1934682,1952019,1969055,1982131,1994944,2003916,2010931,2028598,2043720,2060753,2074174,2084477,2090254,2095206,2107437,2116980,2126613,2134985,2143417,2148010,2149760,2156616,2163712,2170359,2176093,2181178,2182916,2186276,2191837,2196903,2201703,2204195,2207108,2207959,2208665,2209581,2212058,2214776,2217365,2219408,2220625,2221380,2222229,2224778,2226757,2228201,2229530,2230190,2230674,2232023,2233947,2235229,2236488,2237652,2238259,2238603,2239680,2241165,2242310,2243280,2244385,2244868,2245130,2246076,2247016,2248036,2249296,2250174,2250468,2250748,2251898,2252718,2253803,2254803,2255695,2256053,2256421,2257312,2258433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,United Kingdom,2021-01-25,18.4207,-64.64,POINT(-64.64 18.4207),114,1,95,18,,,"British Virgin Islands, United Kingdom",Bermuda,United Kingdom,32.3078,-64.7505,POINT(-64.7505 32.3078),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,10,10,11,14,14,14,17,17,23,25,25,25,29,30,30,33,33,35,35,35,37,37,39,39,39,39,39,44,44,48,48,48,51,51,54,54,59,61,61,64,64,66,66,66,66,66,73,73,77,78,80,80,81,81,81,89,91,91,92,92,92,92,112,113,113,113,114,114,114,120,120,125,127,127,127,127,127,128,128,128,132,132,132,132,132,132,133,133,134,134,135,135,135,135,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,139,139,139,139,139,141,141,141,141,141,141,143,144,144,144,144,144,144,144,144,144,145,145,145,147,147,147,147,147,147,147,149,149,150,151,151,151,151,153,153,155,157,157,157,158,158,158,158,158,159,160,161,161,161,161,164,164,164,164,166,166,166,166,167,167,167,167,167,167,167,167,168,169,169,169,170,170,170,170,170,170,170,172,172,172,172,172,172,172,172,174,174,175,175,175,175,175,175,175,176,176,176,176,176,176,179,179,179,181,181,182,182,182,188,189,189,189,189,189,196,200,200,200,200,200,200,205,206,207,211,213,214,214,215,216,216,216,216,222,223,228,229,233,233,233,238,247,250,255,261,267,276,276,291,321,338,338,394,394,394,421,421,445,445,478,478,519,522,522,531,538,540,551,554,554,558,566,571,583,583,598,603,611,611,625,625,625,640,646,648,650,650,653,653,653,668,668,669,669,670,670,671,673,673,673,675,675,675,679,679,679,679,679,679,679,679,681,681,682,682,682,682,682,682,682,685,688,688,688,690,690,690,692,692,692,692,699,699,699,699,707,709,709,712,715,715,718,718,722,722,728,728,729,743,743,743,758,799,799,813,835,864,888,888,998,1037,1051,1140,1195,1237,1237,1290,1290,1313,1394,1479,1572,1636,1724,1737,1768,1805,1820,1820,1820,1820,1966,2016,2062,2062,2095,2095,2170,2182,2182,2222,2234,2250,2250,2284,2311,2311,2366,2383,2383,2383,2401,2401,2423,2423,2423,2423,2428,2441,2441,2441,2444,2451,2451,2451,2455,2455,2455,2455,2455,2455,2455,2461,2461,2461,2461,2461,2461,2461,2461,2461,2461,2461,2464,2464,2464,2464,2466,2466,2466,2466,2471,2471,2471,2473,2473,2473,2473,2473,2477,2477,2481,2481,2481,2482,2482,2482,2482,2482,2487,2487,2487,2488,2488,2488,2488,2495,2495,2495,2495,2499,2499,2503,2503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
